Number.of.Bags,altitude_mean_meters,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Country.of.Origin,Variety,Processing.Method,Color,species,especialidad
275,1775.0,0.0,0,3,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
300,1200.0,0.0,0,1,0.0,Brazil,Bourbon,Washed / Wet,Green,arabica,1
4,1600.0,0.0,0,0,0.0,Philippines,Other,Washed / Wet,Bluish-Green,arabica,1
250,1100.0,0.11,0,0,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
250,1450.0,0.12,0,4,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
250,1450.0,0.06,1,0,0.0,Colombia,,,,arabica,1
275,1400.0,0.11,0,0,0.0,Honduras,Catuai,Washed / Wet,Green,arabica,1
100,100.0,0.13,0,1,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,1
2,,0.06,0,0,0.0,United States (Hawaii),Hawaiian Kona,Washed / Wet,Blue-Green,arabica,1
100,1700.0,0.13,0,5,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Green,arabica,1
275,442.0,0.12,4,0,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
10,150.0,0.11,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
220,1130.0,0.12,0,0,2.0,Mexico,,,Green,arabica,1
250,1500.0,0.13,0,0,0.0,Costa Rica,Caturra,Washed / Wet,Green,arabica,1
300,1200.0,0.0,0,3,0.0,Brazil,Bourbon,Semi-washed / Semi-pulped,Green,arabica,1
200,1800.0,0.11,0,2,0.0,Kenya,SL28,Washed / Wet,Green,arabica,1
10,1872.0,0.0,0,0,0.0,United States,Other,Washed / Wet,,arabica,1
77,1550.0,0.12,0,4,0.0,"Tanzania, United Republic Of",Bourbon,Washed / Wet,Green,arabica,1
250,1700.0,0.11,0,0,0.0,Costa Rica,Caturra,Washed / Wet,Green,arabica,1
100,1350.0,0.0,0,1,0.0,El Salvador,Bourbon,Washed / Wet,Green,arabica,1
250,1300.0,0.1,0,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
100,750.0,0.0,0,1,0.0,India,,,Green,robusta,1
275,1600.0,0.1,0,1,0.0,Colombia,,,,arabica,1
300,1300.0,0.11,2,6,0.0,Indonesia,Typica,Other,,arabica,1
20,750.0,0.0,0,0,0.0,Taiwan,Typica,Natural / Dry,Green,arabica,1
223,1325.88,0.17,1,19,0.0,Guatemala,,,,arabica,0
380,1300.0,0.12,0,5,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,0
10,1450.0,0.12,0,1,0.0,Mexico,Typica,Semi-washed / Semi-pulped,Green,arabica,1
275,1219.2,0.1,0,2,0.0,Guatemala,Other,Washed / Wet,Green,arabica,0
50,1799.0,0.0,0,5,0.0,Colombia,Caturra,Washed / Wet,Bluish-Green,arabica,1
10,1200.0,0.1,0,0,0.0,Mexico,Typica,Washed / Wet,Bluish-Green,arabica,0
250,1500.0,0.1,0,2,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
10,1170.0,0.13,0,1,0.0,Mexico,Caturra,Washed / Wet,Green,arabica,1
1,1500.0,0.12,0,6,1.0,Honduras,Other,Washed / Wet,Green,arabica,1
50,1550.0,0.09,4,40,0.0,Ethiopia,Other,Natural / Dry,Green,arabica,1
8,650.0,0.0,3,4,0.0,Taiwan,Yellow Bourbon,Washed / Wet,Green,arabica,0
200,1500.0,0.11,0,2,1.0,Honduras,Caturra,Washed / Wet,Bluish-Green,arabica,1
50,1775.0,0.11,0,3,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
250,1800.0,0.11,0,3,0.0,Colombia,Caturra,Washed / Wet,Bluish-Green,arabica,1
10,,0.0,0,0,0.0,United States (Hawaii),,,,arabica,1
10,700.0,0.13,5,5,0.0,Mexico,Caturra,Natural / Dry,,arabica,1
275,1706.88,0.12,0,1,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
320,,0.0,0,11,0.0,Mexico,,Washed / Wet,Green,arabica,1
275,1800.0,0.12,0,0,0.0,Colombia,Other,Washed / Wet,Green,arabica,1
250,1731.264,0.11,0,1,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
300,11000.0,0.11,0,16,0.0,Brazil,Moka Peaberry,Semi-washed / Semi-pulped,Green,arabica,1
13,,0.01,1,7,0.0,United States (Hawaii),,,,arabica,1
125,1524.0,0.12,0,4,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
50,,0.12,0,0,0.0,Thailand,Caturra,Pulped natural / honey,Green,arabica,1
149,,0.1,0,3,0.0,,,,,arabica,0
180,1.0,0.0,0,9,0.0,Brazil,Yellow Bourbon,Natural / Dry,Green,arabica,1
275,1450.0,0.1,0,3,0.0,Honduras,Catuai,Washed / Wet,Green,arabica,0
320,934.0,0.11,0,3,2.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
250,,0.11,0,3,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
10,1100.0,0.11,4,20,0.0,Mexico,Pacamara,Washed / Wet,Green,arabica,0
50,1775.0,0.0,2,0,0.0,Colombia,Caturra,Washed / Wet,Bluish-Green,arabica,1
20,1218.0,0.1,0,2,0.0,Mexico,Bourbon,Natural / Dry,Green,arabica,1
275,1500.0,0.1,0,3,0.0,El Salvador,Bourbon,Washed / Wet,Blue-Green,arabica,1
250,,0.11,0,2,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
275,1400.0,0.11,0,5,0.0,Honduras,Caturra,Washed / Wet,Green,arabica,1
1,800.0,0.12,0,0,0.0,Thailand,,Washed / Wet,Bluish-Green,arabica,1
15,700.0,0.13,0,5,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
1,426.72,0.0,0,0,0.0,United States (Hawaii),,,,arabica,1
377,1565.0,0.1,0,10,1.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
20,1140.0,0.14,3,11,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
2,1600.0,0.0,0,1,0.0,Mexico,Other,Washed / Wet,Green,arabica,1
100,1680.0,0.11,1,4,0.0,Panama,Caturra,Other,Green,arabica,1
275,442.0,0.0,1,3,3.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
15,,0.0,0,1,0.0,United States (Hawaii),,,,arabica,1
250,1150.0,0.13,0,2,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
250,1310.64,0.11,1,4,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
